브랜드,시즌,유통채널,채널명,고객,PH01-1,아이템_대분류,PH01-2,아이템_중분류,PH01-3,아이템코드,아이템_소분류,합계 : 1. 매출액 Actual,합계 : 제품/상품 매출액 Actual,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 수수료차감매출 Actual,합계 : 출고매출액(V-) Actual,합계 : 2. 매출원가 Actual,합계 : 표준 매출원가,표준제간비,재고평가감 환입,매출원가(평가감환입반영),매출총이익
I,21S,8.0,사입,105494.0,A0100,Acc_etc,A0100A0120,Acc_etc,A0100A0120A0120015,ET,기타,118800,118800,1188000,130680,118800,130680,118800,306696,306696,30362,-295896,41162,77638
I,22N,8.0,사입,105494.0,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140003,CP,운동모,9900,9900,99000,10890,9900,10890,9900,16845,16845,1650,0,18495,-8595
I,23F,2.0,면세점,100883.0,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140009,WM,방한모,26345,26345,69000,48300,43909,28980,26345,12703,12703,1499,-10946,3256,23089
I,23F,8.0,사입,100967.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,-81591,-81591,-359000,-89750,-81591,-89750,-81591,-70493,-70493,-8318,61354,-17457,-64134
I,23F,8.0,사입,102197.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,-81591,-81591,-359000,-89750,-81591,-89750,-81591,-70493,-70493,-8318,61354,-17457,-64134
I,23F,8.0,사입,105260.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,81591,81591,359000,89750,81591,89750,81591,70493,70493,8318,-61354,17457,64134
I,23N,1.0,백화점,100599.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150005,SH,신발,30412,30412,59000,53100,48273,33453,30412,15122,15122,1754,0,16876,13536
I,23N,1.0,백화점,100669.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,35400,35400,59000,59000,53636,38940,35400,14672,14672,1702,0,16374,19026
I,23N,1.0,백화점,100717.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150005,SH,신발,33791,33791,59000,59000,53636,37170,33791,15122,15122,1754,0,16876,16915
I,23N,1.0,백화점,100746.0,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140003,CP,운동모,19200,19200,33000,33000,30000,21120,19200,5200,5200,603,0,5803,13397
