브랜드,유통채널,직접비항목,금액
I,1,감가상각비_임차시설물,41316000.0
I,2,지급임차료_매장(고정),1275000.0
I,2,감가상각비_임차시설물,2719000.0
I,3,감가상각비_임차시설물,1191000.0
I,11,감가상각비_임차시설물,6409000.0
M,1,지급임차료_매장(고정),2575000.0
M,1,감가상각비_임차시설물,83168000.0
M,2,지급임차료_매장(고정),6525000.0
M,2,감가상각비_임차시설물,11870000.0
M,3,지급임차료_매장(고정),577350000.0
M,3,감가상각비_임차시설물,65223000.0
M,7,감가상각비_임차시설물,11799000.0
M,11,지급임차료_매장(고정),2907000.0
M,11,감가상각비_임차시설물,20612000.0
ST,1,감가상각비_임차시설물,8628000.0
ST,2,감가상각비_임차시설물,2948000.0
ST,7,감가상각비_임차시설물,2198000.0
ST,11,지급임차료_매장(고정),3635000.0
ST,11,감가상각비_임차시설물,13324000.0
V,1,감가상각비_임차시설물,18059000.0
V,7,감가상각비_임차시설물,4168000.0
V,11,감가상각비_임차시설물,7188000.0
X,1,지급임차료_매장(고정),770000.0
X,1,감가상각비_임차시설물,95672000.0
X,2,감가상각비_임차시설물,3592000.0
X,3,지급임차료_매장(고정),160000000.0
X,3,감가상각비_임차시설물,235000.0
X,7,감가상각비_임차시설물,88763000.0
X,11,감가상각비_임차시설물,20813000.0
X,12,감가상각비_임차시설물,236000.0
