브랜드,시즌,유통채널,채널명,고객,PH01-1,아이템_대분류,PH01-2,아이템_중분류,PH01-3,아이템코드,아이템_소분류,합계 : 1. 매출액 Actual,합계 : 제품/상품 매출액 Actual,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 수수료차감매출 Actual,합계 : 출고매출액(V-) Actual,합계 : 2. 매출원가 Actual,합계 : 표준 매출원가,표준제간비,재고평가감 환입,매출원가(평가감환입반영),매출총이익
I,21S,8.0,사입,105494.0,A0100,Acc_etc,A0100A0120,Acc_etc,A0100A0120A0120015,ET,기타,118800,118800,1188000,130680,118800,130680,118800,306696,306696,30362,-295896,41162,77638
I,22F,99.0,기타,104295.0,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140009,WM,방한모,11764,11764,69000,12940,11764,12940,11764,11767,11767,1306,-11139,1934,9830
I,22N,8.0,사입,105494.0,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140003,CP,운동모,9900,9900,99000,10890,9900,10890,9900,16845,16845,1650,0,18495,-8595
I,23F,2.0,면세점,100883.0,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140009,WM,방한모,26345,26345,69000,48300,43909,28980,26345,12703,12703,1499,-10946,3256,23089
I,23F,4.0,자사몰,101376.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110015,JP,점퍼,10364,10364,219000,11400,10364,11400,10364,42113,42113,4969,-36538,10544,-180
I,23F,4.0,자사몰,101376.0,L0100,Wear_etc,L0100L0160,과시즌의류,L0100L0160L0160015,S2,맨투맨셋트,16590,16590,288000,18250,16590,18250,16590,60659,60659,7157,-53328,14488,2102
I,23F,8.0,사입,100967.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,-81591,-81591,-359000,-89750,-81591,-89750,-81591,-70493,-70493,-8318,61354,-17457,-64134
I,23F,8.0,사입,100967.0,L0100,Wear_etc,L0100L0160,과시즌의류,L0100L0160L0160014,S1,반팔티 & 스웨트팬츠,-24773,-24773,-109000,-27250,-24773,-27250,-24773,-20151,-20151,-2377,17376,-5152,-19621
I,23F,8.0,사입,102197.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,-81591,-81591,-359000,-89750,-81591,-89750,-81591,-70493,-70493,-8318,61354,-17457,-64134
I,23F,8.0,사입,105260.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,81591,81591,359000,89750,81591,89750,81591,70493,70493,8318,-61354,17457,64134
I,23F,8.0,사입,105260.0,L0100,Wear_etc,L0100L0160,과시즌의류,L0100L0160L0160014,S1,반팔티 & 스웨트팬츠,24773,24773,109000,27250,24773,27250,24773,20151,20151,2377,-17376,5152,19621
I,23N,1.0,백화점,100599.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150005,SH,신발,30412,30412,59000,53100,48273,33453,30412,15122,15122,1754,0,16876,13536
I,23N,1.0,백화점,100669.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,35400,35400,59000,59000,53636,38940,35400,14672,14672,1702,0,16374,19026
I,23N,1.0,백화점,100691.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,27033,27033,59000,47200,42909,29736,27033,14672,14672,1702,0,16374,10659
I,23N,1.0,백화점,100693.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,31860,31860,59000,53100,48273,35046,31860,14672,14672,1702,0,16374,15486
I,23N,1.0,백화점,100717.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150005,SH,신발,33791,33791,59000,59000,53636,37170,33791,15122,15122,1754,0,16876,16915
I,23N,1.0,백화점,100746.0,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140003,CP,운동모,19200,19200,33000,33000,30000,21120,19200,5200,5200,603,0,5803,13397
I,23N,1.0,백화점,100748.0,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140003,CP,운동모,18900,18900,33000,33000,30000,20790,18900,5200,5200,603,0,5803,13097
I,23N,1.0,백화점,100748.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,33791,33791,59000,59000,53636,37170,33791,14672,14672,1702,0,16374,17417
I,23N,1.0,백화점,100750.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150005,SH,신발,30894,30894,59000,53100,48272,33983,30894,15122,15122,1754,0,16876,14018
I,23N,1.0,백화점,100756.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,33791,33791,59000,59000,53636,37170,33791,14672,14672,1702,0,16374,17417
I,23N,1.0,백화점,100759.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,-34327,-34327,-59000,-59000,-53636,-37760,-34327,-14672,-14672,-1702,0,-16374,-17953
I,23N,1.0,백화점,100760.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,67582,67582,118000,118000,107272,74340,67582,29344,29344,3403,0,32747,34835
I,23N,1.0,백화점,100771.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,33791,33791,59000,59000,53636,37170,33791,14672,14672,1702,0,16374,17417
I,23N,1.0,백화점,100774.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150005,SH,신발,27033,27033,59000,47200,42909,29736,27033,15122,15122,1754,0,16876,10157
I,23N,1.0,백화점,100774.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,57445,57445,118000,100300,91182,63190,57445,29344,29344,3403,0,32747,24698
I,23N,1.0,백화점,100777.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,30412,30412,59000,53100,48273,33453,30412,14672,14672,1702,0,16374,14038
I,23N,1.0,백화점,100782.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,33791,33791,59000,59000,53636,37170,33791,14672,14672,1702,0,16374,17417
I,23N,1.0,백화점,100785.0,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140003,CP,운동모,20790,20790,33000,29700,27000,22869,20790,7133,7133,827,0,7960,12830
I,23N,1.0,백화점,100785.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150005,SH,신발,78470,78470,118000,112100,101909,86317,78470,30244,30244,3508,0,33752,44718
I,23N,1.0,백화점,100809.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,0,0,0,0,0,0,0,0,0,0,0,0,0
I,23N,1.0,백화점,100857.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150005,SH,신발,60824,60824,118000,106200,96546,66906,60824,30244,30244,3508,0,33752,27072
I,23N,1.0,백화점,100857.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,30412,30412,59000,53100,48273,33453,30412,14672,14672,1702,0,16374,14038
I,23N,1.0,백화점,100861.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,35400,35400,59000,59000,53636,38940,35400,14672,14672,1702,0,16374,19026
I,23N,1.0,백화점,100970.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150005,SH,신발,64203,64203,118000,112100,101909,70623,64203,30244,30244,3508,0,33752,30451
I,23N,1.0,백화점,103191.0,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140003,CP,운동모,19800,19800,33000,33000,30000,21780,19800,5900,5900,684,0,6584,13216
I,23N,1.0,백화점,104154.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150005,SH,신발,43982,43982,59000,59000,53637,48380,43982,15122,15122,1754,0,16876,27106
I,23N,1.0,백화점,104356.0,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140003,CP,운동모,18900,18900,33000,33000,30000,20790,18900,5900,5900,684,0,6584,12316
I,23N,1.0,백화점,104822.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150005,SH,신발,45591,45591,59000,59000,53636,50150,45591,15122,15122,1754,0,16876,28715
I,23N,1.0,백화점,104842.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,60824,60824,118000,106200,96546,66906,60824,29344,29344,3403,0,32747,28077
I,23N,2.0,면세점,100850.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150005,SH,신발,32182,32182,59000,59000,53637,35400,32182,15122,15122,1754,0,16876,15306
I,23N,2.0,면세점,100850.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,32182,32182,59000,59000,53637,35400,32182,14672,14672,1702,0,16374,15808
I,23N,2.0,면세점,100947.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,32182,32182,59000,59000,53637,35400,32182,14672,14672,1702,0,16374,15808
I,23N,3.0,직영점(가두),100868.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,214544,214544,236000,236000,214544,235998,214544,58688,58688,6807,0,65495,149049
I,23N,4.0,자사몰,101376.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,-38182,-38182,-59000,-42000,-38182,-42000,-38182,-14672,-14672,-1702,0,-16374,-21808
I,23N,5.0,제휴몰,103403.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150005,SH,신발,160908,160908,177000,177000,160908,176999,160908,45366,45366,5262,0,50628,110280
I,23N,5.0,제휴몰,103403.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,268180,268180,295000,295000,268180,294998,268180,73360,73360,8509,0,81869,186311
I,23N,5.0,제휴몰,103631.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,1769988,1769988,1947000,1947000,1769988,1946987,1769988,484176,484176,56164,0,540340,1229648
I,23N,5.0,제휴몰,104419.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,107272,107272,118000,118000,107272,117999,107272,29344,29344,3403,0,32747,74525
I,23N,6.0,대리점,100814.0,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140003,CP,운동모,-1920,-1920,0,-3300,-3000,-2112,-1920,0,0,0,0,0,-1920
I,23N,6.0,대리점,100824.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,34864,34864,59000,59000,53637,38350,34864,14672,14672,1702,0,16374,18490
I,23N,6.0,대리점,100834.0,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140003,CP,운동모,19800,19800,33000,33000,30000,21780,19800,5900,5900,684,0,6584,13216
I,23N,6.0,대리점,100848.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150005,SH,신발,69728,69728,118000,118000,107274,76701,69728,30244,30244,3508,0,33752,35976
I,23N,6.0,대리점,100848.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,69728,69728,118000,118000,107274,76701,69728,29344,29344,3403,0,32747,36981
I,23N,6.0,대리점,100862.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150005,SH,신발,-3432,-3432,0,-5900,-5363,-3775,-3432,0,0,0,0,0,-3432
I,23N,6.0,대리점,100923.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,34327,34327,59000,59000,53636,37760,34327,14672,14672,1702,0,16374,17953
I,23N,6.0,대리점,101985.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,34327,34327,59000,59000,53636,37760,34327,14672,14672,1702,0,16374,17953
I,23N,6.0,대리점,103658.0,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140003,CP,운동모,19200,19200,33000,33000,30000,21120,19200,5200,5200,603,0,5803,13397
I,23N,6.0,대리점,104029.0,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140003,CP,운동모,18300,18300,33000,33000,30000,20130,18300,5200,5200,603,0,5803,12497
I,23N,6.0,대리점,104031.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,31860,31860,59000,53100,48273,35046,31860,14672,14672,1702,0,16374,15486
I,23N,6.0,대리점,104033.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150005,SH,신발,34327,34327,59000,59000,53636,37760,34327,15122,15122,1754,0,16876,17451
I,23N,6.0,대리점,104101.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,31860,31860,59000,53100,48273,35046,31860,14672,14672,1702,0,16374,15486
I,23N,6.0,대리점,104263.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,34864,34864,59000,59000,53637,38350,34864,14672,14672,1702,0,16374,18490
I,23N,6.0,대리점,104398.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,34864,34864,59000,59000,53637,38350,34864,14672,14672,1702,0,16374,18490
I,23N,6.0,대리점,104418.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,33791,33791,59000,59000,53636,37170,33791,14672,14672,1702,0,16374,17417
I,23N,6.0,대리점,104570.0,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140003,CP,운동모,19800,19800,33000,33000,30000,21780,19800,5900,5900,684,0,6584,13216
I,23N,6.0,대리점,104899.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,34864,34864,59000,59000,53637,38350,34864,14672,14672,1702,0,16374,18490
I,23N,6.0,대리점,104985.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,101105,101105,177000,171090,155546,111216,101105,44016,44016,5105,0,49121,51984
I,23N,6.0,대리점,106445.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,106200,106200,177000,177000,160908,116820,106200,44016,44016,5105,0,49121,57079
I,23N,8.0,사입,105494.0,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140003,CP,운동모,102300,102300,1023000,112530,102300,112530,102300,178000,178000,20648,0,198648,-96348
I,23N,8.0,사입,105494.0,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140005,HT,햇,127400,127400,1274000,140140,127400,140140,127400,225462,225462,26153,0,251615,-124215
I,23N,11.0,직영몰,100882.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,0,0,0,0,0,0,0,0,0,0,0,0,0
I,23N,11.0,직영몰,100959.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,0,0,0,0,0,0,0,0,0,0,0,0,0
I,23N,11.0,직영몰,104065.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150005,SH,신발,53636,53636,59000,59000,53636,59000,53636,15122,15122,1754,0,16876,36760
I,23N,11.0,직영몰,105496.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,48273,48273,59000,53100,48273,53100,48273,14672,14672,1702,0,16374,31899
I,23N,11.0,직영몰,106401.0,A0100,Shoes,A0100A0150,Shoes,A0100A0150A0150007,SX,스니커즈,144816,144816,177000,159300,144816,159298,144816,44016,44016,5105,0,49121,95695
I,23S,8.0,사입,105494.0,A0100,Headwear,A0100A0140,Headwear,A0100A0140A0140008,SC,선캡,39600,39600,396000,43560,39600,43560,39600,105756,105756,11527,-102156,15127,24473
